,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len
7092,"frozenset({'Product = P00117942', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.08911899507723646,0.17042946868103886,0.03174333729417756,0.3561904761904762,2.089958262189338,0.01655483431377603,1.288534109297203,2,1
7100,"frozenset({'Product = P00237542', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.09641826515022917,0.17042946868103886,0.033271091495501615,0.3450704225352113,2.0247110150945518,0.01683857779480053,1.266656080078414,2,1
7102,"frozenset({'Product = P00270942', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.08334747920556781,0.17042946868103886,0.03123408589373621,0.37474541751527496,2.1988299348431126,0.017029219296827353,1.326772413282117,2,1
7103,"frozenset({'Product = P00111142', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.07672721099983025,0.19368528263452725,0.03123408589373621,0.40707964601769914,2.1017582775550094,0.01637315434547508,1.3599039263029615,2,1
7162,"frozenset({'Product = P00112542', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.07536920726531998,0.1972500424376167,0.031913087760991346,0.42342342342342343,2.1466328635003333,0.017046508429417448,1.3922694576472585,2,1
7172,"frozenset({'Product = P00270942', 'Age = 26-35'})",frozenset({'Product = P00112542'}),0.08334747920556781,0.1889322695637413,0.03259208962824648,0.39103869653767825,2.0697295249806493,0.01684506121952182,1.3318871426227525,2,1
7173,"frozenset({'Product = P00112542', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.07536920726531998,0.19368528263452725,0.03259208962824648,0.43243243243243246,2.232655091550797,0.017994183417122715,1.4206497401201188,2,1
7206,"frozenset({'Product = P00114942', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.08538448480733322,0.19368528263452725,0.03598709896452215,0.42147117296222664,2.1760619455920045,0.01944938089201032,1.3937329994324152,2,1
7207,"frozenset({'Product = P00270942', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.08334747920556781,0.1972500424376167,0.03598709896452215,0.4317718940936863,2.1889571670446695,0.019546805154155526,1.412724835710144,2,1
7210,"frozenset({'Product = P00114942', 'Age = 26-35'})",frozenset({'Product = P00329542'}),0.08538448480733322,0.1179765744355797,0.030724834493294856,0.35984095427435386,3.0501051246477964,0.02065146546577888,1.3778192020462838,2,1
7211,"frozenset({'Product = P00329542', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.05601765404854863,0.1972500424376167,0.030724834493294856,0.5484848484848485,2.7806576957179363,0.019675349854962908,1.777902590574406,2,1
7214,"frozenset({'Product = P0097242', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.06722118485825836,0.1972500424376167,0.03225258869461891,0.47979797979797983,2.4324353691823575,0.01899320712862057,1.5431504038577857,2,1
7215,"frozenset({'Product = P00114942', 'Age = 26-35'})",frozenset({'Product = P0097242'}),0.08538448480733322,0.15209641826515022,0.03225258869461891,0.37773359840954274,2.4835140940073845,0.01926591438000839,1.3626054364620748,2,1
7256,"frozenset({'Product = P00145042', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.08827024274316754,0.19368528263452725,0.03717535223221864,0.4211538461538462,2.174423582552417,0.02007870531828991,1.3929689469436741,2,1
7258,"frozenset({'Product = P00184942', 'Age = 26-35'})",frozenset({'Product = P00147942'}),0.09675776608385674,0.15175691733152266,0.030215583092853507,0.31228070175438594,2.0577691432159817,0.015531922784082853,1.2334146865332452,2,1
7268,"frozenset({'Product = P00237542', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.09641826515022917,0.19368528263452725,0.03853335596672891,0.3996478873239437,2.0633879966918074,0.019858557029975986,1.3430696758463008,2,1
